iter	Passed	Remaining
683	24022	11097
684	24057	11062
685	24090	11026
686	24124	10991
687	24158	10955
688	24193	10920
689	24227	10884
690	24261	10849
691	24296	10813
692	24339	10782
693	24373	10746
694	24409	10712
695	24443	10676
696	24479	10641
697	24519	10608
698	24552	10572
699	24587	10537
700	24621	10501
701	24655	10466
702	24689	10430
703	24724	10395
704	24758	10359
705	24790	10323
706	24824	10288
707	24859	10252
708	24896	10218
709	24930	10182
710	24965	10147
711	24999	10112
712	25036	10077
713	25070	10042
714	25105	10006
715	25141	9972
716	25174	9936
717	25209	9901
718	25242	9865
719	25276	9829
720	25310	9794
721	25348	9760
722	25380	9724
723	25418	9689
724	25454	9655
725	25490	9620
726	25526	9585
727	25560	9550
728	25597	9515
729	25630	9479
730	25665	9444
731	25698	9408
732	25733	9373
733	25769	9338
734	25805	9303
735	25839	9268
736	25872	9232
737	25905	9196
738	25942	9162
739	25974	9126
740	26007	9090
741	26042	9055
742	26077	9020
743	26109	8983
744	26143	8948
745	26184	8915
746	26219	8880
747	26251	8844
748	26285	8808
749	26321	8773
750	26356	8738
751	26389	8703
752	26422	8667
753	26456	8631
754	26490	8596
755	26522	8560
756	26555	8524
757	26592	8489
758	26626	8454
759	26658	8418
760	26698	8384
761	26736	8350
762	26769	8315
763	26802	8279
764	26837	8244
765	26870	8208
766	26904	8173
767	26937	8137
768	26969	8101
769	27005	8066
770	27040	8031
771	27074	7996
772	27108	7960
773	27144	7925
774	27181	7891
775	27217	7856
776	27251	7821
777	27284	7785
778	27319	7750
779	27354	7715
780	27387	7679
781	27421	7644
782	27460	7610
783	27494	7574
784	27556	7547
785	27605	7516
786	27642	7481
787	27675	7445
788	27709	7410
789	27740	7374
790	27776	7339
791	27809	7303
792	27844	7268
793	27879	7233
794	27914	7198
795	27949	7162
796	27983	7127
797	28018	7092
798	28051	7056
799	28085	7021
800	28118	6985
801	28151	6950
802	28184	6914
803	28218	6879
804	28253	6843
805	28287	6808
806	28322	6773
807	28357	6738
808	28391	6703
809	28425	6667
810	28467	6634
811	28501	6598
812	28534	6563
813	28569	6528
814	28604	6493
815	28638	6457
816	28673	6422
817	28707	6387
818	28741	6351
819	28777	6317
820	28817	6282
821	28850	6247
822	28884	6212
823	28920	6177
824	28954	6141
825	28988	6106
826	29022	6071
827	29056	6035
828	29090	6000
829	29125	5965
830	29158	5929
831	29197	5895
832	29232	5860
833	29266	5825
834	29301	5790
835	29335	5754
836	29370	5719
837	29406	5684
838	29440	5649
839	29476	5614
840	29513	5579
841	29549	5544
842	29585	5509
843	29621	5474
844	29655	5439
845	29691	5404
846	29724	5369
847	29758	5334
848	29795	5299
849	29831	5264
850	29864	5228
851	29897	5193
852	29933	5158
853	29968	5123
854	30000	5087
855	30034	5052
856	30070	5017
857	30104	4982
858	30140	4947
859	30175	4912
860	30210	4877
861	30250	4842
862	30283	4807
863	30318	4772
864	30355	4737
865	30391	4702
866	30424	4667
867	30460	4632
868	30496	4597
869	30531	4562
870	30567	4527
871	30600	4491
872	30635	4456
873	30667	4421
874	30702	4386
875	30735	4350
876	30771	4315
877	30806	4280
878	30840	4245
879	30878	4210
880	30915	4175
881	30947	4140
882	30980	4105
883	31016	4070
884	31051	4034
885	31085	3999
886	31118	3964
887	31152	3929
888	31187	3894
889	31222	3858
890	31255	3823
891	31295	3789
892	31331	3754
893	31364	3718
894	31399	3683
895	31433	3648
896	31468	3613
897	31500	3578
898	31535	3542
899	31568	3507
900	31601	3472
901	31634	3436
902	31669	3401
903	31704	3366
904	31738	3331
905	31773	3296
906	31813	3262
907	31847	3226
908	31883	3191
909	31915	3156
910	31950	3121
911	31984	3086
912	32021	3051
913	32054	3016
914	32087	2980
915	32123	2945
916	32161	2911
917	32195	2875
918	32231	2840
919	32265	2805
920	32298	2770
921	32332	2735
922	32367	2700
923	32401	2665
924	32435	2629
925	32470	2594
926	32505	2559
927	32545	2525
928	32577	2489
929	32611	2454
930	32646	2419
931	32680	2384
932	32714	2349
933	32748	2314
934	32782	2279
935	32817	2243
936	32853	2208
937	32887	2173
938	32919	2138
939	32951	2103
940	32987	2068
941	33020	2033
942	33056	1998
943	33089	1962
944	33124	1927
945	33160	1892
946	33196	1857
947	33231	1822
948	33266	1787
949	33299	1752
950	33333	1717
951	33367	1682
952	33402	1647
953	33438	1612
954	33472	1577
955	33506	1542
956	33539	1506
957	33571	1471
958	33606	1436
959	33639	1401
960	33677	1366
961	33712	1331
962	33747	1296
963	33781	1261
964	33816	1226
965	33851	1191
966	33885	1156
967	33919	1121
968	33952	1086
969	33986	1051
970	34022	1016
971	34056	981
972	34090	945
973	34126	910
974	34160	875
975	34192	840
976	34226	805
977	34261	770
978	34295	735
979	34332	700
980	34366	665
981	34401	630
982	34436	595
983	34469	560
984	34502	525
985	34536	490
986	34571	455
987	34605	420
988	34644	385
989	34679	350
990	34714	315
991	34747	280
992	34781	245
993	34817	210
994	34851	175
995	34887	140
996	34922	105
997	34961	70
998	34991	35
999	35025	0
