iter	Passed	Remaining
261	3906	11003
262	3914	10968
263	3929	10954
264	3944	10941
265	3957	10919
266	3966	10887
267	3972	10851
268	3985	10831
269	3996	10806
270	4004	10771
271	4018	10755
272	4039	10757
273	4054	10741
274	4069	10727
275	4086	10719
276	4096	10692
277	4106	10664
278	4117	10641
279	4139	10644
280	4155	10631
281	4169	10615
282	4183	10598
283	4196	10580
284	4205	10551
285	4217	10528
286	4229	10506
287	4239	10480
288	4253	10463
289	4266	10445
290	4279	10427
291	4293	10410
292	4308	10396
293	4321	10377
294	4337	10366
295	4352	10350
296	4364	10329
297	4370	10295
298	4384	10279
299	4399	10264
300	4413	10248
301	4426	10231
302	4433	10199
303	4446	10180
304	4462	10168
305	4478	10158
306	4491	10139
307	4505	10122
308	4519	10106
309	4541	10108
310	4555	10093
311	4562	10061
312	4569	10028
313	4583	10013
314	4597	9998
315	4612	9982
316	4626	9967
317	4634	9939
318	4648	9923
319	4662	9908
320	4675	9889
321	4681	9857
322	4694	9838
323	4705	9817
324	4712	9787
325	4724	9768
326	4734	9743
327	4750	9733
328	4769	9727
329	4784	9713
330	4798	9698
331	4813	9683
332	4827	9668
333	4840	9652
334	4846	9621
335	4854	9592
336	4861	9563
337	4874	9547
338	4888	9531
339	4897	9506
340	4905	9480
341	4920	9466
342	4933	9449
343	4946	9433
344	4963	9424
345	4978	9410
346	4992	9394
347	4998	9365
348	5012	9349
349	5019	9322
350	5034	9309
351	5049	9294
352	5057	9270
353	5071	9254
354	5084	9238
355	5098	9222
356	5112	9208
357	5126	9192
358	5142	9181
359	5153	9161
360	5164	9141
361	5189	9146
362	5209	9141
363	5228	9136
364	5243	9122
365	5267	9124
366	5291	9126
367	5297	9098
368	5321	9100
369	5337	9088
370	5358	9085
371	5369	9064
372	5394	9067
373	5410	9055
374	5425	9041
375	5442	9031
376	5459	9021
377	5477	9013
378	5493	9000
379	5507	8985
380	5513	8957
381	5525	8939
382	5539	8924
383	5553	8908
384	5567	8893
385	5583	8881
386	5601	8871
387	5614	8856
388	5629	8842
389	5636	8815
390	5642	8788
391	5648	8761
392	5659	8740
393	5672	8725
394	5684	8707
395	5698	8691
396	5704	8664
397	5719	8651
398	5725	8624
399	5739	8609
400	5745	8582
401	5759	8567
402	5770	8548
403	5785	8535
404	5798	8519
405	5817	8511
